State,Time,Altitude,HDOP,Latitude,Longitude,Speed,RSSI,SNR
init,14:15:53.00,2294,0,32.1186,35.3029,31km/h,-91,11.000000
init,14:16:23.00,2330,0,32.1194,35.3053,32km/h,-91,7.000000
init,14:16:53.00,2356,0,32.1203,35.3079,33km/h,-93,7.000000
init,14:17:23.00,2388,0,32.1213,35.3105,34km/h,-90,7.000000
init,14:17:53.00,2421,0,32.1225,35.3133,37km/h,-92,7.000000
init,14:18:23.00,2450,0,32.1238,35.3157,34km/h,-94,7.000000
init,14:18:53.00,2467,0,32.1251,35.3180,30km/h,-91,7.000000
init,14:19:23.00,2492,0,32.1263,35.3203,32km/h,-92,7.000000
init,14:19:53.00,2521,0,32.1276,35.3227,30km/h,-93,7.000000
init,14:20:23.00,2559,0,32.1288,35.3251,33km/h,-92,7.000000
init,14:20:53.00,2591,1,32.1299,35.3276,34km/h,-92,7.000000
init,14:21:23.00,2636,1,32.1313,35.3295,26km/h,-91,7.000000
init,14:21:53.00,2688,0,32.1325,35.3317,27km/h,-94,11.000000
init,14:22:23.00,2735,0,32.1340,35.3336,30km/h,-90,7.000000
init,14:22:53.00,2776,0,32.1355,35.3355,29km/h,-91,13.000000
init,14:23:23.00,2822,0,32.1369,35.3373,29km/h,-92,7.000000
init,14:23:53.00,2868,1,32.1385,35.3388,23km/h,-93,7.000000
init,14:24:23.00,2918,0,32.1399,35.3404,24km/h,-93,7.000000
init,14:24:53.00,2958,0,32.1415,35.3418,26km/h,-93,7.000000
init,14:25:23.00,3014,0,32.1432,35.3433,31km/h,-94,11.000000
init,14:25:53.00,3069,0,32.1447,35.3447,30km/h,-96,7.000000
init,14:26:23.00,3120,0,32.1461,35.3463,24km/h,-95,7.000000
init,14:26:53.00,3181,0,32.1473,35.3479,26km/h,-95,7.000000
init,14:27:23.00,3229,0,32.1486,35.3500,30km/h,-99,7.000000
init,14:27:53.00,3282,0,32.1498,35.3522,26km/h,-98,8.000000
init,14:28:23.00,3326,0,32.1511,35.3542,25km/h,-94,7.000000
init,14:28:53.00,3372,0,32.1521,35.3564,28km/h,-96,7.000000
init,14:29:23.00,3428,0,32.1532,35.3587,28km/h,-95,7.000000
init,14:29:53.00,3479,0,32.1543,35.3609,33km/h,-94,7.000000
init,14:30:23.00,3527,0,32.1553,35.3636,32km/h,-98,7.000000
init,14:30:53.00,3573,0,32.1563,35.3665,38km/h,-95,7.000000
init,14:31:23.00,3627,0,32.1573,35.3695,37km/h,-96,7.000000
init,14:31:53.00,3680,0,32.1583,35.3727,36km/h,-96,7.000000
init,14:32:23.00,3732,0,32.1592,35.3757,36km/h,-96,7.000000
init,14:32:53.00,3781,0,32.1600,35.3791,40km/h,-93,7.000000
init,14:33:23.00,3824,0,32.1607,35.3826,41km/h,-98,7.000000
